ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0002274	GO:0002274	myeloid leukocyte activation	65/1376	237/18903	2.11810509575586e-21	1.21367421986811e-17	8.65747588086316e-18	TLR4/PTPRC/SBNO2/GRN/SPI1/RAC2/NOTCH2/CBL/CCR2/LRRK2/CXCR2/PSEN1/SNCA/RBPJ/PIK3CD/ITGB2/TLR6/TLR1/TGFBR2/SYK/LYN/TLR9/CCL5/PRKCD/MYD88/ITGAM/PREX1/ADAM9/TYROBP/CAMP/FGR/S100A12/DYSF/CD33/SLC11A1/STXBP2/PTPN6/LTBR/VSIG4/SNAP23/JUND/GAB2/UNC13D/C5AR1/PTAFR/PLCG2/NMI/LILRB4/CD93/MRGPRX2/LAT2/IL4R/IFNGR1/CD300A/MILR1/CD300LF/LILRA2/LGALS9/FES/HYAL2/CLNK/PRAM1/IFNGR2/F2RL1/PJA2	65	PPI_node
GO:0002697	GO:0002697	regulation of immune effector process	79/1376	379/18903	8.05992029915308e-18	2.30916716570736e-14	1.64719318534797e-14	TLR4/PTPRC/LAMP1/CD36/GRN/TGFB1/SPI1/RAC2/ICAM1/NCF1/CCR2/STAT5B/NOD2/FADD/NLRP3/VAV1/ITGB2/IL1R1/BCL6/SYK/LYN/TLR9/MYD88/ITGAM/WAS/CFP/TYROBP/TNFRSF1B/HLA-B/HLA-E/ARRB2/CLEC7A/NLRX1/NFKBIZ/MAPKAPK2/FGR/LAPTM5/TNFSF13/CEACAM1/RARA/CD59/CR1/CD1D/FCGR1A/STXBP2/FGL2/KLRC1/BCL10/CRK/PTPN6/VSIG4/CD55/ARID5A/GAB2/UNC13D/PTAFR/TMBIM6/UBE2J1/HFE/IL4I1/PLCG2/JAK3/IRAK3/JUNB/LILRB4/FCN1/IL4R/ZBTB7B/CD300A/LGALS9/FES/PTPRJ/CLNK/CR1L/PRAM1/LITAF/F2RL1/HLX/SLC15A4	79	PPI_node
GO:0001819	GO:0001819	positive regulation of cytokine production	88/1376	486/18903	1.02195415107493e-15	1.95193242855311e-12	1.3923677082891e-12	GAPDH/TLR4/CYP1B1/PTPRC/STAT3/CD36/AGPAT1/TGFB1/MAPK14/IRF1/CYBA/CCR2/STAT5B/LRRK2/NOD2/FADD/CEBPB/TLR8/PSEN1/NLRP3/PIK3CD/AIM2/HSPA1B/IL6R/IL1R1/FLOT1/FURIN/TLR6/TLR1/SYK/TLR9/HSPA1A/MBP/DDIT3/MYD88/CYBB/PTGS2/ADAM8/OSM/TYROBP/CD14/RNF135/LILRB2/HLA-E/RAB1A/GPSM3/MEFV/CLEC7A/NLRP12/NAIP/AKIRIN2/MAPKAPK2/MNDA/FGR/LAPTM5/RARA/SLC11A1/NFAM1/BCL10/SORL1/CLEC5A/CD55/ARHGEF2/ARID5A/C5AR1/PTAFR/TRPV4/SULF2/BCL3/MAPK13/PELI1/PLCG2/IRAK3/IL1RL2/FCN1/IL4R/IFNGR1/IL17RA/ZBTB7B/LILRA2/LGALS9/HYAL2/PTPRJ/CLNK/FRMD8/PANX2/F2RL1/IL1RAP	88	PPI_node
GO:0002275	GO:0002275	myeloid cell activation involved in immune response	34/1376	96/18903	1.76540531250999e-15	2.52894311017056e-12	1.80396548117797e-12	SBNO2/GRN/SPI1/RAC2/CBL/CCR2/PIK3CD/ITGB2/SYK/LYN/MYD88/ITGAM/TYROBP/FGR/DYSF/STXBP2/PTPN6/SNAP23/GAB2/UNC13D/PTAFR/PLCG2/NMI/MRGPRX2/LAT2/IL4R/CD300A/MILR1/LILRA2/LGALS9/FES/CLNK/PRAM1/F2RL1	34	PPI_node
GO:0032103	GO:0032103	positive regulation of response to external stimulus	84/1376	464/18903	4.74111683052615e-15	4.52776657315248e-12	3.22978186893562e-12	TNIP1/TLR4/MAPK3/IGF1R/LAMP1/GRN/TNFRSF1A/NFKBIA/TGFB1/SPI1/RAC2/CYBA/SCARF1/PAK1/CCR2/STAT5B/LRRK2/NOD2/FADD/CEBPB/TLR8/CXCR2/NLRP3/SNCA/RAC1/VAV1/S100A8/AIM2/IL6R/PLAU/CASP4/SYK/LYN/TLR9/CCL5/HCK/PTGS2/DAPK2/ADAM8/OSM/TYROBP/CD14/ZNFX1/HLA-E/GPSM3/CLEC7A/NLRP12/NAIP/AKIRIN2/NFKBIZ/MGST2/MNDA/FPR2/ALOX5AP/S100A12/CD1D/FCGR1A/CAMK1D/TNFSF14/NEDD9/PAK2/LPAR1/C5AR1/STX3/F7/TRPV4/MAPK13/PLCG2/NMI/NDEL1/FCN1/TNFRSF11A/IL17RA/CDK19/THBD/LILRA2/LGALS9/HYAL2/CLNK/PPM1F/F2RL1/PDGFD/MOSPD2/SLC15A4	84	PPI_node
GO:0002221	GO:0002221	pattern recognition receptor signaling pathway	48/1376	187/18903	6.38216335076082e-15	5.2242565714085e-12	3.72660756255703e-12	TNIP1/TLR4/CD36/NFKBIA/IRF1/CYBA/NOD2/TLR8/NLRP3/AIM2/HSPA1B/FLOT1/TLR6/TLR1/LYN/TLR9/HSPA1A/MYD88/RTN4/CD14/RNF135/ARRB2/MEFV/NLRX1/NAIP/MAPKAPK2/CTSS/ALPK1/BCL10/UNC93B1/MAPKAPK3/SLC15A3/NFKBIL1/PELI1/PLCG2/NMI/IRAK3/FCN1/TICAM2/CD300A/CD300LF/LILRA2/PIK3AP1/F2RL1/GPR108/PJA2/SEC14L1/SLC15A4	48	PPI_node
GO:0006909	GO:0006909	phagocytosis	64/1376	314/18903	3.40869510145169e-14	1.95318229313182e-11	1.39325927146704e-11	LRP1/TLR4/CDC42/PECAM1/PTPRC/RAB5A/CD36/CORO1A/RAC2/CYBA/CNN2/RAB7A/PAK1/ATG3/NOD2/RAC1/VAV1/ANXA11/ITGB2/MYO7A/NCF4/NCF2/SYK/LYN/HCK/PRKCD/MYD88/ITGAM/CORO1C/GSN/CSK/CFP/TYROBP/CD14/ADORA2A/LYST/RAB34/RAB31/CD302/CLEC7A/FGR/FPR2/DYSF/RARA/FCGR1A/SLC11A1/ARHGAP25/SIRPA/CEACAM4/CAMK1D/RHOG/UNC13D/SIRPB1/XKR8/PLCG2/MERTK/CD93/FCN1/ICAM3/TICAM2/CD300A/CD300LF/PTPRJ/F2RL1	64	PPI_node
GO:0045862	GO:0045862	positive regulation of proteolysis	71/1376	372/18903	4.36233972717603e-14	2.27238242151988e-11	1.62095360388752e-11	TNIP1/STAT3/PTEN/LPCAT3/GRN/NGFR/ENO1/CTSD/TNFSF10/LRRK2/FADD/GABARAP/CFLAR/GSK3B/PSEN1/HIP1/NLRP3/SNCA/S100A8/AIM2/HSPA1B/FURIN/MAP3K5/SYK/LYN/HSPA1A/APAF1/MBP/NFE2L2/BCL2L11/GSN/RHOA/ADAM8/ADAM9/NCSTN/TNFRSF1B/P2RX1/AGTPBP1/MEFV/CLEC7A/NLRP12/AKIRIN2/LAPTM5/CR1/BID/BBC3/BCL10/DAPK1/ST20/PICALM/ASPH/DISC1/AURKAIP1/BCAP31/GSK3A/PLK3/MUL1/CLN6/CBFA2T3/EFNA1/LGALS9/TRIB1/PPM1F/DAP/TRIM67/F12/RCN3/SH3RF3/RNF19B/RNF144B/ZER1	71	PPI_node
GO:0045088	GO:0045088	regulation of innate immune response	54/1376	240/18903	5.17061694168666e-14	2.46896958965538e-11	1.76118470040081e-11	NR1H2/TLR4/LAMP1/GRN/SPI1/IRF1/PAK1/NCF1/STAT5B/NOD2/FADD/TLR8/VAV1/AIM2/SYK/LYN/TLR9/CCL5/HCK/NFE2L2/ADAM8/TYROBP/RNF135/ADAR/ZNFX1/HLA-B/HLA-E/ARRB2/CLEC7A/NLRX1/AKIRIN2/MNDA/FGR/FPR2/CEACAM1/CR1/CD1D/KLRC1/CRK/PTPN6/VSIG4/PAK2/PLCG2/NMI/IRAK3/MUL1/FCN1/LILRA2/LGALS9/CLNK/TRIM21/ZDHHC18/N4BP1/SLC15A4	54	PPI_node
GO:0043299	GO:0043299	leukocyte degranulation	29/1376	79/18903	7.11377864840478e-14	3.13553474271995e-11	2.23666416937294e-11	LAMP1/CORO1A/SPI1/RAC2/CBL/CCR2/PIK3CD/ITGB2/SYK/LYN/HCK/ITGAM/FGR/CEACAM1/STXBP2/SNAP23/GAB2/UNC13D/PTAFR/MRGPRX2/LAT2/IL4R/CD300A/MILR1/LGALS9/FES/CLNK/PRAM1/F2RL1	29	PPI_node
