ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
hsa04380	hsa04380	Osteoclast differentiation	46/783	128/8464	7.60807315979016e-17	2.43458341113285e-14	1.67377609515384e-14	MAPK3/TNFRSF1A/NFKBIA/TGFB1/SPI1/MAPK14/CYBA/IFNAR1/FCGR2A/NCF1/SOCS3/RAC1/PIK3CD/NCF4/IL1R1/FCGR3B/NCF2/TGFBR2/NFKB2/SYK/SQSTM1/GRB2/TYROBP/LILRB2/PPP3R1/PPP3CA/FCGR1A/SIRPA/LILRA1/JUND/GAB2/SIRPB1/MAPK13/PLCG2/JUNB/LILRB4/TNFRSF11A/IFNGR1/OSCAR/LILRB3/LILRA2/LILRA6/LILRB5/FOSL2/IFNGR2/IFNAR2	46	PPI_node
hsa05152	hsa05152	Tuberculosis	52/783	180/8464	2.44566855017279e-14	3.91306968027647e-12	2.69023540519007e-12	TLR4/MAPK3/RAB5A/LAMP1/TNFRSF1A/CORO1A/TGFB1/MAPK14/CTSD/RAF1/RAB7A/FCGR2A/NOD2/FADD/CEBPB/ITGB2/FCGR3B/VDR/TLR6/TLR1/SYK/LAMP2/TLR9/APAF1/ITGAX/MYD88/ITGAM/RHOA/CD14/LSP1/RAB5B/RAB5C/CAMP/CLEC7A/CTSS/PPP3R1/PPP3CA/CR1/FCGR1A/BID/BCL10/ATP6V0A1/NFYC/ATP6V0D1/TCIRG1/ATP6V0B/MAPK13/PLK3/IFNGR1/CR1L/IL10RB/IFNGR2	52	PPI_node
hsa04145	hsa04145	Phagosome	46/783	152/8464	1.23300874883439e-13	1.31520933209002e-11	9.04206415811886e-12	ACTB/TLR4/VAMP3/RAB5A/LAMP1/CD36/CORO1A/TUBA4A/CYBA/RAB7A/FCGR2A/ATP6V1A/NCF1/ITGA5/TUBA1A/TUBB4B/RAC1/ITGB2/NCF4/FCGR3B/NCF2/TLR6/LAMP2/TUBB2A/ITGAM/CYBB/ATP6V1E1/CD14/HLA-C/HLA-B/HLA-E/RAB5B/RAB5C/CLEC7A/CTSS/FCGR1A/ATP6V0A1/FCAR/ATP6V0D1/ATP6V1C1/STX12/TCIRG1/ATP6V0E1/ATP6V0B/ATP6V1B2/DYNC1LI1	46	PPI_node
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	32/783	97/8464	5.75445410200489e-11	4.60356328160391e-09	3.16494975610269e-09	MAPK3/CDC42/PTPRC/ARPC3/VASP/RAC2/RAF1/ARPC1A/FCGR2A/PAK1/NCF1/ARPC5/RAC1/VAV1/PIK3CD/FCGR3B/SYK/LYN/HCK/PRKCD/MYO10/ARPC4/ARPC1B/GSN/WAS/CFL1/FCGR1A/CRK/ASAP1/LIMK2/GAB2/PLCG2	32	PPI_node
hsa04144	hsa04144	Endocytosis	57/783	251/8464	7.78173586540964e-11	4.98031095386217e-09	3.42396378078024e-09	SPG21/IGF1R/CDC42/ACAP2/ARF5/RAB35/RAB5A/EHD1/ARF1/SH3GLB1/ARPC3/TSG101/ARPC1A/CBL/RAB7A/ARPC5/CXCR2/WIPF2/HSPA1B/CAPZA2/TGFBR2/HSPA1A/ARPC4/ARPC1B/RHOA/CYTH4/HLA-C/HLA-B/HLA-E/ARRB2/ARF3/RAB11FIP1/RAB5B/RAB5C/RAB31/EPS15L1/ARAP1/CHMP1A/ZFYVE16/CXCR1/CLTB/ARAP3/ASAP1/CHMP4B/ARFGAP3/IGF2R/CLTCL1/IQSEC1/EPN1/GRK6/HSPA6/SH3GL1/CHMP2A/VPS37B/VPS37C/FOLR3/SMAP2	57	PPI_node
hsa05131	hsa05131	Shigellosis	53/783	247/8464	3.19706435070396e-09	1.61556988936802e-07	1.11070429894051e-07	TNIP1/ACTB/TLR4/MAPK3/CDC42/BCL2L1/ARF1/HK2/TNFRSF1A/NFKBIA/ARPC3/MAPK14/ARPC1A/PXN/MAP1LC3B/ITGA5/ARPC5/TLN1/HCLS1/GSK3B/NLRP3/RAC1/PIK3CD/IL1R1/CAPN1/CASP4/CCL5/FOXO3/PRKCD/MYD88/SQSTM1/UBC/ARPC4/ARPC1B/ACTN1/RHOA/CYTH4/CD14/NAIP/UBE2D1/HK3/BCL10/CRK/SHARPIN/RRAGC/ARHGEF2/RRAGD/MAP1LC3B2/UBE2D3/PLCD3/MAPK13/PLCG2/GSK3A	53	PPI_node
hsa04662	hsa04662	B cell receptor signaling pathway	27/783	84/8464	3.53405913299254e-09	1.61556988936802e-07	1.11070429894051e-07	MAPK3/NFKBIA/RAC2/RAF1/GSK3B/RAC1/VAV1/PIK3CD/SYK/LYN/GRB2/LILRB2/PPP3R1/PPP3CA/BCL10/PTPN6/LILRA1/DAPP1/SOS2/NFKBIE/PLCG2/LILRB4/LILRB3/LILRA2/LILRA6/LILRB5/PIK3AP1	27	PPI_node
hsa05130	hsa05130	Pathogenic Escherichia coli infection	45/783	197/8464	6.72634737081958e-09	2.69053894832783e-07	1.84974552697539e-07	GAPDH/ACTB/TLR4/MAPK3/CDC42/ARF1/TNFRSF1A/NFKBIA/ARPC3/MAPK14/TNFSF10/TUBA4A/ARPC1A/FCGR2A/PAK1/ARPC5/TUBA1A/FADD/BAIAP2/HCLS1/WIPF2/NLRP3/TUBB4B/MYO1F/RAC1/IL1R1/CASP4/MYD88/MYO10/CYFIP1/TUBB2A/ARPC4/ARPC1B/RHOA/CYTH4/RAB1A/NAIP/PTPN6/ARHGEF2/PAK2/ARHGEF11/LPAR1/LPAR2/TMBIM6/MAPK13	45	PPI_node
hsa04062	hsa04062	Chemokine signaling pathway	43/783	192/8464	2.7271323000077e-08	9.69647040002739e-07	6.66632340001883e-07	MAPK3/CDC42/STAT3/NFKBIA/RAC2/RAF1/PXN/PAK1/GNAQ/NCF1/CCR2/STAT5B/GNAI2/CXCR2/GSK3B/RAC1/VAV1/PIK3CD/LYN/CCL5/HCK/FOXO3/PRKCD/GRB2/WAS/RHOA/PREX1/GNB1/ARRB2/FGR/GNAI3/CXCR1/CRK/PRKACA/SOS2/GRK6/GNB2/GNB4/GNG11/PLCG2/GSK3A/JAK3/GNG5	43	PPI_node
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	23/783	70/8464	3.2218092470784e-08	1.03097895906509e-06	7.08798034357249e-07	CDC42/NFKBIA/MAPK14/ATP6V1A/PAK1/CXCR2/RAC1/LYN/CCL5/CSK/ATP6V1E1/CXCR1/ATP6V0A1/MAP2K4/ATP6V0D1/ATP6V1C1/TCIRG1/ATP6V0E1/ATP6V0B/ATP6V1B2/MAPK13/PLCG2/F11R	23	PPI_node
