#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AATK	CARD6	9606.ENSP00000324196	9606.ENSP00000254691	0	0	0	0	0	0	0	0.401	0.401
AATK	TNIP1	9606.ENSP00000324196	9606.ENSP00000317891	0	0	0	0	0	0	0	0.420	0.420
AATK	B3GNTL1	9606.ENSP00000324196	9606.ENSP00000319979	0	0	0	0	0	0	0	0.402	0.402
AATK	MYADM	9606.ENSP00000324196	9606.ENSP00000375649	0	0	0	0	0	0	0	0.531	0.531
ABAT	PLBD1	9606.ENSP00000379845	9606.ENSP00000240617	0	0	0	0	0.063	0.526	0	0.496	0.756
ABAT	ACSS2	9606.ENSP00000379845	9606.ENSP00000253382	0	0	0	0	0.096	0	0.800	0.107	0.824
ABAT	AOC2	9606.ENSP00000379845	9606.ENSP00000253799	0.046	0	0	0	0.063	0	0	0.620	0.631
ABAT	PDXK	9606.ENSP00000379845	9606.ENSP00000291565	0	0	0	0	0.056	0.272	0	0.291	0.470
ABAT	ACOX1	9606.ENSP00000379845	9606.ENSP00000293217	0.041	0	0	0	0.065	0	0.800	0.076	0.812
ABAT	GAA	9606.ENSP00000379845	9606.ENSP00000305692	0	0	0	0	0.063	0.499	0	0	0.510
ABAT	GLUL	9606.ENSP00000379845	9606.ENSP00000307900	0.075	0	0	0	0.062	0	0.900	0.500	0.950
ABAT	AOC3	9606.ENSP00000379845	9606.ENSP00000312326	0.046	0	0	0	0.063	0	0	0.446	0.461
ABAT	TALDO1	9606.ENSP00000379845	9606.ENSP00000321259	0	0	0	0	0.072	0.788	0	0.153	0.818
ABAT	C16orf72	9606.ENSP00000379845	9606.ENSP00000331720	0	0	0	0	0	0	0	0.467	0.467
ABAT	TKT	9606.ENSP00000379845	9606.ENSP00000391481	0	0	0	0	0	0.243	0	0.243	0.402
ABAT	MGAM	9606.ENSP00000379845	9606.ENSP00000447378	0	0	0	0	0.063	0.499	0	0	0.510
ABAT	LOC93432	9606.ENSP00000379845	9606.ENSP00000447431	0	0	0	0	0.063	0.499	0	0	0.510
ABAT	HAGH	9606.ENSP00000379845	9606.ENSP00000380514	0	0	0	0	0.062	0	0	0.520	0.531
ABAT	CPVL	9606.ENSP00000379845	9606.ENSP00000387164	0	0	0	0	0.109	0.760	0	0	0.777
ABAT	ACSS3	9606.ENSP00000379845	9606.ENSP00000449535	0	0	0	0	0.096	0	0.800	0.101	0.823
ABAT	ALDH3B1	9606.ENSP00000379845	9606.ENSP00000473990	0.053	0	0	0	0.110	0.200	0.900	0.117	0.929
ABCG1	GAPDH	9606.ENSP00000354995	9606.ENSP00000229239	0	0	0	0	0.051	0	0	0.408	0.414
ABCG1	LRP1	9606.ENSP00000354995	9606.ENSP00000243077	0	0	0	0	0	0	0	0.494	0.494
ABCG1	CD68	9606.ENSP00000354995	9606.ENSP00000250092	0	0	0	0	0.049	0	0	0.431	0.436
ABCG1	NR1H2	9606.ENSP00000354995	9606.ENSP00000253727	0	0	0	0	0.062	0.075	0.900	0.742	0.974
ABCG1	CYP27A1	9606.ENSP00000354995	9606.ENSP00000258415	0	0	0	0	0	0.056	0	0.583	0.590
ABCG1	HMGCR	9606.ENSP00000354995	9606.ENSP00000287936	0	0	0	0	0.050	0	0	0.678	0.681
ABCG1	KDM1B	9606.ENSP00000354995	9606.ENSP00000297792	0	0	0	0	0	0	0.900	0.068	0.902
ABCG1	PTTG1IP	9606.ENSP00000354995	9606.ENSP00000328325	0	0	0	0	0	0	0	0.415	0.414
ABCG1	SRA1	9606.ENSP00000354995	9606.ENSP00000337513	0	0	0	0	0	0	0	0.406	0.406
ABCG1	ANKRD34B	9606.ENSP00000354995	9606.ENSP00000339802	0	0	0	0	0	0	0	0.480	0.480
ABCG1	ACTB	9606.ENSP00000354995	9606.ENSP00000349960	0	0	0	0	0	0	0	0.478	0.478
ABCG1	TLR4	9606.ENSP00000354995	9606.ENSP00000363089	0	0	0	0	0.062	0.056	0	0.457	0.477
ABCG1	NPC2	9606.ENSP00000354995	9606.ENSP00000451112	0	0	0	0	0.062	0	0	0.467	0.478
ABCG1	RXRA	9606.ENSP00000354995	9606.ENSP00000419692	0	0	0	0	0	0.075	0.900	0.488	0.948
ABCG2	SLC22A4	9606.ENSP00000237612	9606.ENSP00000200652	0	0	0	0	0.054	0.102	0	0.570	0.602
ABCG2	SPG21	9606.ENSP00000237612	9606.ENSP00000204566	0	0	0	0	0	0	0	0.432	0.432
ABCG2	GLI1	9606.ENSP00000237612	9606.ENSP00000228682	0	0	0	0	0.055	0.102	0	0.499	0.537
ABCG2	GAPDH	9606.ENSP00000237612	9606.ENSP00000229239	0	0	0	0	0.062	0	0	0.607	0.615
ABCG2	CTDP1	9606.ENSP00000237612	9606.ENSP00000484525	0	0	0	0	0	0	0	0.404	0.404
ABCG2	SLC29A4	9606.ENSP00000237612	9606.ENSP00000380081	0	0	0	0	0.062	0.058	0	0.382	0.407
ABCG2	MAPK3	9606.ENSP00000237612	9606.ENSP00000263025	0	0	0	0	0	0.067	0	0.391	0.407
ABCG2	DPYD	9606.ENSP00000237612	9606.ENSP00000359211	0	0	0	0	0.062	0	0	0.395	0.408
ABCG2	IGF1R	9606.ENSP00000237612	9606.ENSP00000268035	0	0	0	0	0.062	0.057	0	0.392	0.415
ABCG2	ATP7B	9606.ENSP00000237612	9606.ENSP00000242839	0	0	0	0	0	0.060	0	0.407	0.419
ABCG2	SLCO3A1	9606.ENSP00000237612	9606.ENSP00000320634	0	0	0	0	0	0	0	0.421	0.420
ABCG2	CDC42	9606.ENSP00000237612	9606.ENSP00000383118	0	0	0	0	0	0.339	0	0.161	0.421
ABCG2	CYP1B1	9606.ENSP00000237612	9606.ENSP00000478561	0	0	0	0	0	0.056	0	0.414	0.423
ABCG2	ARRDC3	9606.ENSP00000237612	9606.ENSP00000265138	0	0	0	0	0	0	0	0.435	0.435
